,city,category,amount
13948,Montréal,Gyms,8
13949,Charlotte,Dry Cleaning,8
13950,Tempe,Solar Installation,8
13951,Las Vegas, Trophy Shops,8
13952,Montréal, Traditional Chinese Medicine,8
13953,Toronto, Airlines,8
13954,North Las Vegas, Cafes,8
13955,Verdun,Pizza,8
13956,Rocky River, Pizza,8
13957,Medina, Coffee & Tea,8
13958,Peoria, Dance Studios,8
13959,Newmarket,Coffee & Tea,8
13960,Wexford, Tires,8
13961,Glendale, Dry Cleaning,8
13962,Peoria,Real Estate Services,8
13963,Phoenix, Solar Panel Cleaning,8
13964,Chagrin Falls, Hair Removal,8
13965,Charlotte,Electronics,8
13966,Montréal,Ethnic Food,8
13967,Glendale, Signmaking,8
13968,Montréal,Tobacco Shops,8
13969,Surprise, Hardware Stores,8
13970,Mesa,Hair Extensions,8
13971,Phoenix, Spanish,8
13972,Parma, Hair Salons,8
13973,Concord, Children's Clothing,8
13974,Streetsboro, Auto Repair,8
13975,Concord, Endodontists,8
13976,Gilbert, Party Supplies,8
13977,Parma, Oil Change Stations,8
13978,Mesa,Garage Door Services,8
13979,Willoughby, Nail Salons,8
13980,Concord, Thai,8
13981,Fountain Hills, Coffee & Tea,8
13982,Mississauga, Health Markets,8
13983,Indian Trail, Pet Sitting,8
13984,Tempe, Blow Dry/Out Services,8
13985,Avondale, Mobile Phones,8
13986,Avondale, Chinese,8
13987,Charlotte,Auto Detailing,8
13988,Cornelius, Flowers & Gifts,8
13989,Westlake, Sports Bars,8
13990,Newmarket, Home Services,8
13991,Etobicoke, Furniture Stores,8
13992,Mesa, Tutoring Centers,8
13993,Tempe, Lingerie,8
13994,Lakewood, Pets,8
13995,Charlotte,Lawyers,8
13996,Burton, Restaurants,8
13997,Lakewood, General Dentistry,8
13998,Medina,Beauty & Spas,8
13999,Richmond Hill,Pets,8
14000,Broadview Heights, Active Life,8
14001,Concord, Beer,8
14002,Urbana, Fashion,8
14003,Urbana, Hair Salons,8
14004,Mesa, Assisted Living Facilities,8
14005,Toronto, Arabian,8
14006,Middleton, Mexican,8
14007,Peoria, Cosmetic Surgeons,8
14008,Richmond Hill, Salad,8
14009,Las Vegas, Gunsmith,8
14010,Sewickley, Cafes,8
14011,Bridgeville, Fashion,8
14012,Mayfield Heights, Hair Salons,8
14013,Matthews, Massage,8
14014,Vaughan,Sushi Bars,8
14015,Cave Creek, Pool & Hot Tub Service,8
14016,Cleveland,Soup,8
14017,Indian Trail, Professional Services,8
14018,Champaign, Auto Detailing,8
14019,Strongsville,Home Services,8
14020,Pittsburgh,Wedding Planning,8
14021,North Las Vegas, Building Supplies,8
14022,Phoenix, Water Stores,8
14023,Vaughan,Grocery,8
14024,Fitchburg, Mexican,8
14025,North Olmsted, Flowers & Gifts,8
14026,Chandler, Packing Services,8
14027,Madison, Obstetricians & Gynecologists,8
14028,Parma Heights, Bars,8
14029,Mississauga,Donuts,8
14030,Toronto,Nail Technicians,8
14031,Henderson,Mobile Phones,8
14032,Richmond Hill, Oil Change Stations,8
14033,Middleton, Women's Clothing,8
14034,Mentor, Doctors,8
14035,North Royalton, Pets,8
14036,Las Vegas, African,8
14037,Mississauga, Travel Services,8
14038,Cleveland,Meat Shops,8
14039,Waunakee, Automotive,8
14040,Elizabeth,Restaurants,8
14041,Denver, Nightlife,8
14042,North York, Juice Bars & Smoothies,8
14043,Las Vegas,Fences & Gates,8
14044,Akron, Trainers,8
14045,Urbana, Bakeries,8
14046,Avon Lake, Pizza,8
14047,Mississauga, Self Storage,8
14048,Henderson,Drugstores,8
14049,Scarborough, Dry Cleaning & Laundry,8
14050,University Heights, Shopping,8
14051,Aurora, Desserts,8
14052,Concord, Tex-Mex,8
14053,Chandler, Notaries,8
14054,Toronto, Pop-up Shops,8
14055,Sainte-Thérèse, Restaurants,8
14056,Cuyahoga Falls,Pizza,8
14057,Montréal,Real Estate,8
14058,North Olmsted, Music & Video,8
14059,Mesa,Pediatricians,8
14060,Urbana, Arts & Crafts,8
14061,Scottsdale,Eyebrow Services,8
14062,Pittsburgh, Karaoke,8
14063,Mentor, Auto Parts & Supplies,8
14064,Phoenix, Knitting Supplies,8
14065,Cornelius, Women's Clothing,8
14066,Phoenix,Dance Clubs,8
14067,Mayfield Heights, Beauty & Spas,8
14068,Cleveland, Computers,8
14069,Lakewood, Ice Cream & Frozen Yogurt,8
14070,Murrysville, Bars,8
14071,Gilbert, Spray Tanning,8
14072,Solon, Breakfast & Brunch,8
14073,Scottsdale, Auction Houses,8
14074,Markham, Chiropractors,8
14075,Mississauga, Shipping Centers,8
14076,Chandler,Property Management,8
14077,Gastonia, Diners,8
14078,Avondale, Massage,8
14079,Westlake,American (Traditional),8
14080,Cleveland,Sewing & Alterations,8
14081,Phoenix, Medical Cannabis Referrals,8
14082,Tempe, Plus Size Fashion,8
14083,Beachwood, Real Estate,8
14084,Penn Hills, Restaurants,8
14085,Lyndhurst,Shopping,8
14086,Glendale, Pain Management,8
14087,Brecksville, Home Services,8
14088,North Royalton,Automotive,8
14089,Pittsburgh, Appraisal Services,8
14090,Gilbert, Refinishing Services,8
14091,Glendale, Windows Installation,8
14092,Tempe, Vietnamese,8
14093,Las Vegas, Bounce House Rentals,8
14094,Hudson, Local Services,8
14095,Peoria, Landscape Architects,8
14096,Toronto,Internet Cafes,8
14097,Tempe,Veterinarians,8
14098,Whitby,Shopping,8
14099,North Olmsted, Italian,8
14100,Oakville,Burgers,8
14101,Peoria, Tex-Mex,8
14102,Vaughan, Sports Wear,8
14103,Rantoul, Fast Food,8
14104,Chandler,Sushi Bars,8
14105,Oakville, Eyelash Service,8
14106,Chandler, Appliances & Repair,8
14107,Scottsdale, Candy Stores,8
14108,Parma, Pet Services,8
14109,Las Vegas,Private Investigation,8
14110,Cleveland, Real Estate Services,8
14111,Phoenix,Outdoor Gear,8
14112,Brossard, Event Planning & Services,8
14113,Charlotte,Bridal,8
14114,Richmond Hill, Delis,8
14115,Kent, Home Services,8
14116,Matthews, Mattresses,8
14117,Cuyahoga Falls,American (Traditional),8
14118,Glendale, Bubble Tea,8
14119,Avondale, Body Shops,8
14120,Bethel Park, Hair Salons,8
14121,Las Vegas,Fruits & Veggies,8
14122,North York, Persian/Iranian,8
14123,Lakewood, Fitness & Instruction,8
14124,Cleveland, Stadiums & Arenas,8
14125,Kent, Auto Repair,8
14126,Etobicoke,Grocery,8
14127,Las Vegas,Home Window Tinting,8
14128,Akron,Nail Salons,8
14129,North Las Vegas, Eyebrow Services,8
14130,Chandler, Diners,8
14131,Cave Creek,Nail Salons,8
14132,Charlotte, Irish,8
14133,Brampton,Chicken Wings,8
14134,Glendale,Gas Stations,8
14135,Pineville, Pet Services,8
14136,Glendale, Beer Bar,8
14137,Phoenix,Hiking,8
14138,Las Vegas,Food Court,8
14139,Twinsburg, Nightlife,8
14140,Phoenix, Saunas,8
14141,Henderson, Cannabis Dispensaries,8
14142,Elyria, Contractors,8
14143,Charlotte,Garage Door Services,8
14144,Mayfield Heights, Automotive,8
14145,North York, Tires,8
14146,Las Vegas,Packing Services,8
14147,Matthews,Mexican,8
14148,Henderson,Lounges,8
14149,Phoenix, Farms,8
14150,Peoria, Party & Event Planning,8
14151,Markham,Imported Food,8
14152,Toronto,Spanish,8
14153,Westmount, Fashion,8
14154,Gilbert, Dermatologists,8
14155,Scottsdale,Commercial Real Estate,8
14156,Toronto,Oral Surgeons,8
14157,Boulder City, Coffee & Tea,8
14158,Vaughan, Day Spas,8
14159,Gilbert, Computers,8
14160,Las Vegas,TV Mounting,8
14161,Gastonia,American (Traditional),8
14162,Avon Lake, Home Services,8
14163,Mesa, Business Law,8
14164,Peoria, Water Heater Installation/Repair,8
14165,Peoria, Mobile Phones,8
14166,Hudson, Home & Garden,8
14167,Phoenix,Check Cashing/Pay-day Loans,8
14168,Akron, IT Services & Computer Repair,8
14169,Cleveland, Candy Stores,8
14170,North York,Cafes,8
14171,Toronto, Data Recovery,8
14172,Amherst, Breakfast & Brunch,8
14173,Concord, Sports Bars,8
14174,Toronto,Martial Arts,8
14175,Coraopolis, Italian,8
14176,Concord, Real Estate,8
14177,Henderson, Grout Services,8
14178,Sun Lakes,Restaurants,8
14179,Tempe,Web Design,8
14180,Montréal, Cabaret,8
14181,Lasalle, Pizza,8
14182,Charlotte, Reiki,8
14183,Chandler, Plus Size Fashion,8
14184,Lakewood, Flowers & Gifts,8
14185,Mount Horeb,Restaurants,8
14186,Markham, IT Services & Computer Repair,8
14187,North York,Fitness & Instruction,8
14188,Rock Hill, Home & Garden,8
14189,Waxhaw, Event Planning & Services,8
14190,Toronto,Heating & Air Conditioning/HVAC,8
14191,Anjou, Restaurants,8
14192,Urbana, Towing,8
14193,Tempe, Outdoor Gear,8
14194,Saint-Sauveur, Nightlife,8
14195,Madison,Caterers,8
14196,Markham, Laser Hair Removal,8
14197,Phoenix, Kids Hair Salons,8
14198,Glendale, Countertop Installation,8
14199,Gibsonia, Automotive,8
14200,Surprise, Furniture Stores,8
14201,Huntersville, Gas Stations,8
14202,Scottsdale, Recreation Centers,8
14203,Streetsboro, American (New),8
14204,Strongsville, Shoe Stores,8
14205,Henderson,Dry Cleaning & Laundry,8
14206,Boucherville, Nightlife,8
14207,Pittsburgh,Colleges & Universities,8
14208,Mesa, Auto Upholstery,8
14209,Champaign, Used,8
14210,Madison,Hair Stylists,8
14211,Bridgeville, Hair Salons,8
14212,Pittsburgh,Bridal,8
14213,Glendale, Cosmetic Surgeons,8
14214,Fountain Hills, Mexican,8
14215,Montréal, Gift Shops,8
14216,Belmont, Sandwiches,8
14217,Bridgeville, Arts & Entertainment,8
14218,Chandler, Transportation,8
14219,Toronto,Knitting Supplies,8
14220,Goodyear, Massage Therapy,8
14221,Goodyear, Painters,8
14222,Whitby, Pubs,8
14223,Mesa, Environmental Abatement,8
14224,Las Vegas,Reiki,8
14225,Las Vegas, Cigar Bars,8
14226,Surprise, Eyewear & Opticians,8
14227,Tempe,Shoe Stores,8
14228,Phoenix, Bartenders,8
14229,North Las Vegas, Pet Sitting,8
14230,Markham,Thai,8
14231,Scarborough, Shopping Centers,8
14232,Pittsburgh,Candy Stores,8
14233,Fort Mill,American (Traditional),8
14234,Gilbert, Diners,8
14235,Fitchburg, Fast Food,8
14236,Cleveland, Landscaping,8
14237,Brampton, Pet Stores,8
14238,Northfield, Bars,8
14239,Madison, Jewelry Repair,8
14240,Mississauga,Department Stores,8
14241,Charlotte, Tax Services,8
14242,Bethel Park, Fast Food,8
14243,Cave Creek, Landscaping,8
14244,Mesa, Wholesalers,8
14245,Surprise, Pediatric Dentists,8
14246,Gilbert, Toy Stores,8
14247,Charlotte, Traffic Ticketing Law,8
14248,Ajax, Hair Removal,8
14249,Concord,Barbeque,8
14250,Westlake, Venues & Event Spaces,8
14251,Glendale, Gluten-Free,8
14252,Euclid, Pizza,8
14253,Oakville, Nail Salons,8
14254,Gilbert, Drywall Installation & Repair,8
14255,Henderson, Gun/Rifle Ranges,8
14256,Mississauga, Cocktail Bars,8
14257,Glendale, Bikes,8
14258,Las Vegas,Neurologist,8
14259,Montréal, Physical Therapy,8
14260,Tempe, Dance Studios,8
14261,Akron, Dentists,8
14262,North Olmsted, Sporting Goods,8
14263,Henderson,Car Wash,8
14264,Mesa, Television Service Providers,8
14265,Gilbert,Barbeque,8
14266,East York, Local Services,8
14267,Monroe, Sandwiches,8
14268,Cleveland, Korean,8
14269,Bedford, Tires,8
14270,Mesa, Data Recovery,8
14271,Saint-Laurent, Sandwiches,8
14272,Las Vegas,Auto Upholstery,8
14273,Cleveland, Carpet Cleaning,8
14274,Stouffville, Shopping,8
14275,Charlotte,Divorce & Family Law,8
14276,Hudson, Coffee & Tea,8
14277,Madison,General Dentistry,8
14278,Etobicoke, Veterinarians,8
14279,Las Vegas,Hospice,8
14280,Phoenix,Legal Services,8
14281,Pineville, Electronics,8
14282,Surprise, Carpet Cleaning,8
14283,Thornhill, Event Planning & Services,8
14284,Markham,Cosmetics & Beauty Supply,8
14285,Mississauga,Diners,8
14286,Parma, Chicken Wings,8
14287,Saint-Sauveur, Bars,8
14288,Medina, Pet Services,8
14289,Madison, Ethnic Food,8
14290,Phoenix,Airport Shuttles,8
14291,Tempe, Internal Medicine,8
14292,Mesa,Toy Stores,8
14293,Gilbert,Medical Spas,8
14294,Scarborough, Sports Clubs,8
14295,Pittsburgh, Preschools,8
14296,Toronto,Stadiums & Arenas,8
14297,Glendale, Patio Coverings,8
14298,Charlotte, Cycling Classes,8
14299,Vaughan, Furniture Stores,8
14300,Avondale,Hair Salons,8
14301,Sun City, Sandwiches,8
14302,Chandler, Water Purification Services,8
14303,Cuyahoga Falls, Mexican,8
14304,Pittsburgh,Men's Hair Salons,8
14305,Phoenix, Video Game Stores,8
14306,Surprise, Juice Bars & Smoothies,8
14307,Surprise, Self Storage,8
14308,Phoenix,Dermatologists,8
14309,Scottsdale,Auto Customization,8
14310,South Euclid, Fast Food,8
14311,Charlotte, Drywall Installation & Repair,8
14312,Willoughby,Event Planning & Services,8
14313,Whitby, Home & Garden,8
14314,Streetsboro, Local Services,8
14315,Peoria, Pet Stores,8
14316,Markham, Karaoke,8
14317,Saint-Léonard, Restaurants,8
14318,Aurora, Asian Fusion,8
14319,Concord,Pets,8
14320,Glendale,Flooring,8
14321,Goodyear, Elementary Schools,8
14322,Toronto,Amusement Parks,8
14323,Mesa, Roadside Assistance,8
14324,Painesville, Coffee & Tea,8
14325,Mesa, Cannabis Clinics,8
14326,Pittsburgh, Escape Games,8
14327,Verdun,Shopping,8
14328,Goodyear, Apartments,8
14329,Westlake, Salad,8
14330,Mesa,Korean,8
14331,North York,Hair Removal,8
14332,Tempe, Educational Services,8
14333,Mesa, Reiki,8
14334,Pittsburgh, Obstetricians & Gynecologists,8
14335,Las Vegas, Kebab,8
14336,Phoenix, Debt Relief Services,8
14337,Mississauga, Hardware Stores,8
14338,Pittsburgh, Vinyl Records,8
14339,Peoria, Handyman,8
14340,Madison, Window Washing,8
14341,Chandler, Security Systems,8
14342,Las Vegas,Professional Sports Teams,8
14343,Chandler,Acupuncture,8
14344,North Las Vegas, Preschools,8
14345,Mentor, Chicken Wings,8
14346,Goodyear, Barbeque,8
14347,Charlotte, Swimwear,8
14348,Henderson,Laundry Services,8
14349,Medina, Hotels,8
14350,Scottsdale,Martial Arts,8
14351,Glenshaw,Restaurants,8
14352,Gilbert,Religious Organizations,8
14353,Phoenix, Pet Photography,8
14354,Eastlake,Home Services,8
14355,Lorain, Nightlife,8
14356,Avon, Pizza,8
14357,East York,Automotive,8
14358,Beachwood, Nail Salons,8
14359,Huntersville, Venues & Event Spaces,8
14360,Gilbert, Breweries,8
14361,Strongsville, Coffee & Tea,8
14362,Pittsburgh, Painters,8
14363,Pineville, Health & Medical,8
14364,Phoenix,Window Washing,8
14365,Cleveland,Day Spas,8
14366,Middleburg Heights, Fashion,8
14367,Gastonia, Ice Cream & Frozen Yogurt,8
14368,Chagrin Falls, Health & Medical,8
14369,Henderson, Bikes,8
14370,Pittsburgh, Waffles,8
14371,Peoria, Wine Bars,8
14372,Las Vegas,Traditional Chinese Medicine,8
14373,Pittsburgh,Specialty Schools,8
14374,Champaign, Music Venues,8
14375,Matthews, Hair Stylists,8
14376,Gilbert, Windows Installation,8
14377,Brampton, Comfort Food,8
14378,Independence, Salad,8
14379,Paradise Valley, Hotels & Travel,8
14380,Peoria, Sports Clubs,8
14381,Goodyear, Oral Surgeons,8
14382,Rocky River, Coffee & Tea,8
14383,Brampton,Grocery,8
14384,Elyria, Mexican,8
14385,Las Vegas, Tax Law,8
14386,Mississauga, Weight Loss Centers,8
14387,Henderson, Reflexology,8
14388,Mississauga, Limos,8
14389,Henderson, Summer Camps,8
14390,Richmond Hill, Trainers,8
14391,Montréal, Hookah Bars,8
14392,Goodyear, Property Management,8
14393,Champaign,Financial Services,8
14394,Saint-Jérôme,Restaurants,8
14395,North York, Food Delivery Services,8
14396,Scottsdale, Photo Booth Rentals,8
14397,Glendale, Office Cleaning,8
14398,Gilbert, Mailbox Centers,8
14399,Oakville, Home & Garden,8
14400,Lake Wylie,Restaurants,8
14401,Tolleson, Health & Medical,8
14402,Mesa,Steakhouses,8
14403,Thornhill, Canadian (New),8
14404,Phoenix,Eyebrow Services,8
14405,Montréal, Dance Studios,8
14406,Las Vegas,Signmaking,8
14407,Gilbert, Carpenters,8
14408,Las Vegas,Urologists,8
14409,Scottsdale, Meat Shops,8
14410,North Las Vegas, Music Venues,8
14411,Mentor, Delis,8
14412,Scottsdale, Estheticians,8
14413,Halton Hills, Outlet Stores,8
14414,Tempe, Refinishing Services,8
14415,Peoria,Hair Removal,8
14416,Mayfield Heights,Beauty & Spas,8
14417,Huntersville, Seafood,8
14418,North Royalton, Italian,8
14419,Kent,Bars,8
14420,Vaughan, Caterers,8
14421,Scottsdale, Check Cashing/Pay-day Loans,8
14422,Mesa, Commercial Truck Repair,8
14423,Avondale, Barbers,8
14424,Richmond Hill, Taiwanese,8
14425,Goodyear,Real Estate,8
14426,Dorval, Shopping,8
14427,Pittsburgh, Handyman,8
14428,Chandler,Sports Bars,8
14429,Pittsburgh,Wine Bars,8
14430,Madison, Piercing,8
14431,Parma Heights, Nightlife,8
14432,Pittsburgh, Car Stereo Installation,8
14433,Phoenix,Motorcycle Dealers,8
14434,Chandler,Electronics,8
14435,Phoenix, IV Hydration,8
14436,Thornhill, Fitness & Instruction,8
14437,McKeesport, Food,8
14438,Toronto, Home Organization,8
14439,Oakville, Salad,8
14440,Woodbridge, Home Services,8
14441,Richmond Hill,Canadian (New),8
14442,Phoenix, Real Estate Photography,8
14443,Peoria,Home Cleaning,8
14444,Henderson, Legal Services,8
14445,Allison Park, Home Services,8
14446,Beachwood, Flowers & Gifts,8
14447,Charlotte, Gay Bars,8
14448,Sun City, Contractors,8
14449,Bethel Park, Oil Change Stations,8
14450,Avondale, Skin Care,7
14451,Charlotte, Financial Advising,7
14452,Goodyear,Fashion,7
14453,Markham,Venues & Event Spaces,7
14454,Whitby, Gastropubs,7
14455,Markham,Gyms,7
14456,Strongsville, Accessories,7
14457,Brampton, Flowers & Gifts,7
14458,Mint Hill, Nightlife,7
14459,Carnegie,Automotive,7
14460,Hudson, Pizza,7
14461,Montréal, Public Transportation,7
14462,Pineville, Car Dealers,7
14463,Madison,Heating & Air Conditioning/HVAC,7
14464,Brampton, Pet Services,7
14465,Cuyahoga Falls, Auto Parts & Supplies,7
14466,Charlotte, Body Contouring,7
14467,Charlotte, Roadside Assistance,7
14468,North York, Books,7
14469,Woodbridge,Beauty & Spas,7
14470,Toronto, Ukrainian,7
14471,Las Vegas,RV Parks,7
14472,Oakmont, Nightlife,7
14473,Montréal, Argentine,7
14474,Gilbert, Web Design,7
14475,Homestead,Fashion,7
14476,Pittsburgh,Nurseries & Gardening,7
14477,Medina, Doctors,7
14478,Akron, Car Dealers,7
14479,Avondale,Sandwiches,7
14480,Scottsdale, Home Staging,7
14481,Markham,Home & Garden,7
14482,Chandler, Home Inspectors,7
14483,Markham, Creperies,7
14484,Oakville,Fast Food,7
14485,Mesa, Educational Services,7
14486,West Mifflin, Hotels & Travel,7
14487,Surprise, Elementary Schools,7
14488,Richfield, Event Planning & Services,7
14489,Peninsula, Active Life,7
14490,Whitby, Nail Salons,7
14491,Chagrin Falls, Venues & Event Spaces,7
14492,Chagrin Falls,Home Services,7
14493,Chandler, Home Organization,7
14494,North Las Vegas, Office Cleaning,7
14495,Madison, Gutter Services,7
14496,Madison, Halal,7
14497,Gilbert,Tree Services,7
14498,Concord,Desserts,7
14499,Cleveland, Spray Tanning,7
14500,Madison,Massage Therapy,7
14501,Phoenix, Soccer,7
14502,Charlotte,Piercing,7
14503,North Royalton, Burgers,7
14504,Fort Mill,Chinese,7
14505,Fairlawn, Pizza,7
14506,Huntersville, Delis,7
14507,Toronto,Office Cleaning,7
14508,Mentor, Electronics,7
14509,Cleveland Heights, Pet Services,7
14510,Toronto, Cooking Classes,7
14511,Oregon, Event Planning & Services,7
14512,Mississauga,Portuguese,7
14513,Madison, Boot Camps,7
14514,Ajax, Pubs,7
14515,Mesa, Spray Tanning,7
14516,North York, Body Shops,7
14517,Las Vegas,Gold Buyers,7
14518,Gilbert, Criminal Defense Law,7
14519,Charlotte,Hobby Shops,7
14520,Peoria,Convenience Stores,7
14521,Tempe, Social Clubs,7
14522,Tempe, Cheesesteaks,7
14523,Charlotte, Adult Education,7
14524,Toronto,Skating Rinks,7
14525,Surprise, Pet Sitting,7
14526,Cleveland,Self Storage,7
14527,Gilbert, Beer Bar,7
14528,Akron, Salad,7
14529,Henderson, Self-defense Classes,7
14530,Glendale, Community Service/Non-Profit,7
14531,Sun City, Drugstores,7
14532,Tempe, Hypnosis/Hypnotherapy,7
14533,Toronto, Shoe Shine,7
14534,Chandler,Caterers,7
14535,Las Vegas, Art Museums,7
14536,Phoenix,Truck Rental,7
14537,Peoria, Vietnamese,7
14538,Las Vegas,Payroll Services,7
14539,Hudson, Wine & Spirits,7
14540,Mentor,Hair Salons,7
14541,Vaughan,Chicken Wings,7
14542,Kent,Pizza,7
14543,Chandler, Artificial Turf,7
14544,Oakdale, Shopping,7
14545,Henderson, Videos & Video Game Rental,7
14546,Cornelius, Pet Sitting,7
14547,Goodyear, Printing Services,7
14548,Avondale, Pet Groomers,7
14549,Tempe,Auto Insurance,7
14550,Las Vegas, Colonics,7
14551,Etobicoke, Caribbean,7
14552,Elyria, Pizza,7
14553,Cleveland,Dance Clubs,7
14554,Henderson,Veterinarians,7
14555,Wickliffe,Restaurants,7
14556,Madison,Cosmetic Dentists,7
14557,Matthews,Doctors,7
14558,Markham,Skin Care,7
14559,Champaign, Wedding Planning,7
14560,Wickliffe, Home Services,7
14561,Scottsdale, Arcades,7
14562,Monroeville, Men's Clothing,7
14563,Madison,Chicken Wings,7
14564,Glendale,Weight Loss Centers,7
14565,Las Vegas,Bike Rentals,7
14566,Brunswick, Event Planning & Services,7
14567,Middleburg Heights, Hair Salons,7
14568,Cornelius, Italian,7
14569,Apache Junction, Shopping,7
14570,Pittsburgh, Office Equipment,7
14571,Peoria, RV Dealers,7
14572,Indian Trail, Hair Salons,7
14573,Middleton, Beer,7
14574,Montréal, Swimming Pools,7
14575,Huntersville, Beer,7
14576,Pittsburgh, Jazz & Blues,7
14577,Millvale, Restaurants,7
14578,Phoenix, Diving,7
14579,Monona, Home Services,7
14580,Henderson, Art Supplies,7
14581,Lakewood, Drugstores,7
14582,Mesa,Amusement Parks,7
14583,Surprise, Photographers,7
14584,Charlotte,Travel Services,7
14585,Mayfield Heights, Bars,7
14586,Monroeville, Seafood,7
14587,North Royalton,Home Services,7
14588,Mississauga, Bridal,7
14589,Chandler, Pet Boarding,7
14590,Montréal,Farmers Market,7
14591,Willoughby,American (Traditional),7
14592,Pierrefonds, Food,7
14593,Bridgeville, Home Services,7
14594,Glendale, Life Insurance,7
14595,Chandler,Middle Schools & High Schools,7
14596,North Royalton, Automotive,7
14597,Phoenix,Nutritionists,7
14598,Tempe, Nurseries & Gardening,7
14599,Las Vegas,Pool Halls,7
14600,Phoenix,Car Stereo Installation,7
14601,Avondale, Auto Glass Services,7
14602,Chandler, Cardiologists,7
14603,Toronto,Departments of Motor Vehicles,7
14604,Sun City, American (Traditional),7
14605,Whitby, Local Services,7
14606,Avondale, Juice Bars & Smoothies,7
14607,Vaughan, Car Dealers,7
14608,Phoenix, Gastroenterologist,7
14609,Surprise,Pet Services,7
14610,North York, Massage Therapy,7
14611,Markham,Juice Bars & Smoothies,7
14612,Paradise Valley, Home Services,7
14613,Pittsburgh,Home Cleaning,7
14614,Laval,Mediterranean,7
14615,Huntersville, Electronics,7
14616,Phoenix, Airport Terminals,7
14617,Murrysville, Home Services,7
14618,Gilbert, Boxing,7
14619,Peoria, Pool Cleaners,7
14620,Mesa, Artificial Turf,7
14621,Carefree, Home & Garden,7
14622,Montréal, Reflexology,7
14623,Monroeville, Mattresses,7
14624,Middleton, Desserts,7
14625,Brampton, Auto Detailing,7
14626,Fort Mill, Trainers,7
14627,Goodyear, Japanese,7
14628,Parma,Bars,7
14629,Etobicoke,Event Planning & Services,7
14630,Cornelius,Bars,7
14631,Scottsdale, Nurse Practitioner,7
14632,Urbana, Hair Removal,7
14633,Westlake, Grocery,7
14634,Middleton, Apartments,7
14635,Davidson, Breakfast & Brunch,7
14636,Scottsdale, Acne Treatment,7
14637,North Las Vegas, Tours,7
14638,Henderson, Occupational Therapy,7
14639,Scarborough,Fashion,7
14640,North Royalton, Specialty Food,7
14641,Glendale, Personal Injury Law,7
14642,North Las Vegas, Kitchen & Bath,7
14643,Phoenix,Utilities,7
14644,Peoria, Pet Sitting,7
14645,Huntersville,Burgers,7
14646,Glendale,Tobacco Shops,7
14647,Saint-Laurent, Fast Food,7
14648,Lyndhurst, Home & Garden,7
14649,Chagrin Falls, Flowers & Gifts,7
14650,Mississauga,Shopping Centers,7
14651,Harrisburg, Chicken Wings,7
14652,Chagrin Falls, Accessories,7
14653,Toronto, Roofing,7
14654,Mesa, Packing Services,7
14655,Phoenix, Falafel,7
14656,Glendale,Accessories,7
14657,Montréal, Naturopathic/Holistic,7
14658,McMurray, Fitness & Instruction,7
14659,Olmsted Falls, Bars,7
14660,Matthews, Accessories,7
14661,Pittsburgh, Airlines,7
14662,Mississauga, Irish,7
14663,Las Vegas,Vacation Rental Agents,7
14664,Pineville,Event Planning & Services,7
14665,Champaign, Hobby Shops,7
14666,Matthews, Endodontists,7
14667,Laval, Patisserie/Cake Shop,7
14668,Mentor, Venues & Event Spaces,7
14669,Madison,Gas Stations,7
14670,Wexford, American (Traditional),7
14671,Las Vegas, Brewpubs,7
14672,Matthews, Pet Groomers,7
14673,Toronto,Yelp Events,7
14674,Madison, Interval Training Gyms,7
14675,Pittsburgh,Electricians,7
14676,Mentor, Furniture Stores,7
14677,Tempe, Mass Media,7
14678,Canonsburg, Fast Food,7
14679,Parma Heights, Automotive,7
14680,Indian Land, Automotive,7
14681,Surprise, Periodontists,7
14682,Phoenix, Lighting Stores,7
14683,Huntersville, Optometrists,7
14684,Montréal,Trainers,7
14685,Henderson, Shopping Centers,7
14686,Strongsville, Optometrists,7
14687,Peoria, RV Repair,7
14688,Scottsdale,Roofing,7
14689,McMurray, Auto Repair,7
14690,North Las Vegas,Auto Parts & Supplies,7
14691,Middleton, Dentists,7
14692,Phoenix,Refinishing Services,7
14693,Mississauga,Veterinarians,7
14694,Phoenix,Airports,7
14695,Pickering, Massage,7
14696,Las Vegas,Glass & Mirrors,7
14697,Brossard, Middle Eastern,7
14698,Charlotte,Lighting Fixtures & Equipment,7
14699,Willoughby, Chicken Wings,7
14700,Montréal,Auto Detailing,7
14701,Pittsburgh,Dance Clubs,7
14702,Gilbert,Mobile Phones,7
14703,Newmarket, Waxing,7
14704,North Las Vegas,Plumbing,7
14705,Brooklyn, Bars,7
14706,Chandler,Building Supplies,7
14707,Glendale,Vape Shops,7
14708,Aurora, Sushi Bars,7
14709,Vaughan,Barbeque,7
14710,Pineville, Contractors,7
14711,Montréal,IT Services & Computer Repair,7
14712,Pittsburgh, Wine Tasting Room,7
14713,Indian Trail,Local Services,7
14714,Toronto, Cuban,7
14715,Tempe,Yoga,7
14716,Mississauga,Contractors,7
14717,Harrisburg,Automotive,7
14718,Charlotte,Windows Installation,7
14719,Mississauga,Pubs,7
14720,Montréal, Food Stands,7
14721,Gastonia, Furniture Stores,7
14722,Phoenix, Bus Tours,7
14723,Tempe, Window Washing,7
14724,Huntersville,Auto Repair,7
14725,Medina,Health & Medical,7
14726,Henderson,Electricians,7
14727,Aurora,Coffee & Tea,7
14728,North Las Vegas,Tires,7
14729,El Mirage,Home Services,7
14730,Oakmont, Home Services,7
